run_label,run_id,synthetic_respondent_id,persona_id,task_position,task_id,survey_stratum,ga,car_av,choice_label,choice_code,choice_name,is_valid_choice
ai_run_01,1,1,SMAI01_0001,1,SMAI01_0001_T01,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,2,SMAI01_0001_T02,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,3,SMAI01_0001_T03,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,4,SMAI01_0001_T04,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,5,SMAI01_0001_T05,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,6,SMAI01_0001_T06,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,7,SMAI01_0001_T07,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,8,SMAI01_0001_T08,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,1,SMAI01_0001,9,SMAI01_0001_T09,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,1,SMAI01_0002_T01,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,2,SMAI01_0002_T02,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,3,SMAI01_0002_T03,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,4,SMAI01_0002_T04,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,5,SMAI01_0002_T05,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,6,SMAI01_0002_T06,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,7,SMAI01_0002_T07,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,8,SMAI01_0002_T08,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,2,SMAI01_0002,9,SMAI01_0002_T09,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,3,SMAI01_0003,1,SMAI01_0003_T01,1,0,1,B,2,SWISSMETRO,1
ai_run_01,1,3,SMAI01_0003,2,SMAI01_0003_T02,1,0,1,B,2,SWISSMETRO,1
