model_key,block_template_id,pair_id,manipulation_type,anchor_task_index,intervention_gap_tv,randomness_envelope,excess_intervention_gap,anchor_modal_choice,twin_modal_choice
gemma4_31b_awq,GMT0001,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0001,LABEL_2,label_mask,4,0.0,0.0,0.0,0,0
gemma4_31b_awq,GMT0001,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0001,ORDER_2,order_randomization,6,0.0,0.0,0.0,0,0
gemma4_31b_awq,GMT0001,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0001,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0002,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
gemma4_31b_awq,GMT0002,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0002,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0002,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0002,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0002,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0003,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0003,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0003,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0003,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0003,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
gemma4_31b_awq,GMT0003,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0004,LABEL_1,label_mask,3,0.0,0.0,0.0,0,0
gemma4_31b_awq,GMT0004,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0004,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0004,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0004,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0004,PARA_2,paraphrase,2,0.0,0.0,0.0,0,0
gemma4_31b_awq,GMT0005,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0005,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0005,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0005,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0005,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0005,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0006,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0006,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0006,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0006,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0006,PARA_1,paraphrase,1,0.0,0.0,0.0,0,0
gemma4_31b_awq,GMT0006,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0007,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0007,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0007,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0007,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0007,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0007,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0008,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0008,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0008,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0008,ORDER_2,order_randomization,6,0.0,0.0,0.0,2,2
gemma4_31b_awq,GMT0008,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0008,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0009,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0009,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0009,ORDER_1,order_randomization,5,0.0,0.0,0.0,2,2
gemma4_31b_awq,GMT0009,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0009,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0009,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0010,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0010,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0010,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0010,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0010,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0010,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0011,LABEL_1,label_mask,3,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0011,LABEL_2,label_mask,4,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0011,ORDER_1,order_randomization,5,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0011,ORDER_2,order_randomization,6,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0011,PARA_1,paraphrase,1,0.0,0.0,0.0,1,1
gemma4_31b_awq,GMT0011,PARA_2,paraphrase,2,0.0,0.0,0.0,1,1
